party_id,as_filed,qid,wd_label,wd_description,p31,mark,mapped_type
6136,Honorable Randy Terrill,,,,,,
7429,Honorable Richard J Durbin,,,,,,
2270,Honorable Rick Crawford,,,,,,
583,Honorable Robert Crawley,,,,,,
7522,Honorable Robert J. Dold,,,,,,
8755,Honorable Robert Stivers,,,,,,
9357,Honorable Susan W. Brooks,,,,,,
8698,Honorable Terry Boose,,,,,,
1558,Honorable Tim Burchett,,,,,,
3255,Inland Cement Limited,,,,,,
2118,International Warehouse Logistics Assocciation,,,,,,
1481,J.R. (Bo) Thompson,,,,,,
7658,Kern Oil & Refining Co.,Q116718367,Kern Oil & Refining Co,"power station with capacity >1MW in Kern County, California",Q3498533|Q1427536,,
4253,Lee & Gail Skoglund,,,,,,
3614,Leroy D Shirley A & Todd Voss,,,,,,
2435,Lora Anne Lucero,,,,,,
7810,Mayor Ashley Swearengin,,,,,,
2100,Mayor Bill Lutz,,,,,,
5506,Memphis Community Connector,,,,,,
5239,Middlewest Motor Freight,,,,,,
3672,Minnesotans For An Energy-Efficient Economy (Me3),,,,,,
3062,Multi-Temp Express,,,,,,
6123,"Nevada Nuclear Waste Task Force, Incorporated",,,,,,
5224,Oil Creek & Titusville Lines,,,,,,
1912,Parks & Trails New York,Q7138638,Parks & Trails New York,"nonprofit organization in New York state, USA",Q180684|Q163740,,
8064,Pgag (Plains Grain & Agronomy),,,,,,
2696,S&P Global,Q868587,S&P Global,"American publicly traded corporation, formerly McGraw Hill Financial, Inc",Q4830453|Q6881511|Q891723,,company
2226,STB (CSX Mtg. Summary),,,,,,
2419,Sierra Club/Friends of the Eel River,,,,,,
8386,Stb (Basf Mtg. Summary),,,,,,
9927,Stb (Domtar And Af&Pa Mtg. Summary),,,,,,
9318,Susan Hoskins Miller,,,,,,
3697,Thomas And June M Rieff,,,,,,
948,Transportation for America,Q7835193,Transportation for America,US policy organization focused on building grassroots support for—and enacting— laws that support progressive transportation and land use policy,Q18325436|Q431603,,
302,University of Illinois Urbana-Champaign,Q457281,University of Illinois Urbana-Champaign,"public research university in Urbana and Champaign, Illinois, United States",Q62078547|Q615150|Q23002039,,
5577,Urbana Park District,,,,,,
8200,Us Dept.Of Agr.,,,,,,
7685,Western Interstate Energy Board,Q138076082,Western Interstate Energy Board,commission that administers an interstate compact,Q106583901,,
9591,William Kuntz Iii,,,,,,
